@relation valence

@attribute id numeric
@attribute aspectlabel string
@attribute unigrams string
@attribute polarity {positive, negative, neutral}

@data
525,RESTAURANT#GENERAL,'I thought this place was totally overrated ',negative
526,RESTAURANT#GENERAL,'Everything we had was good or ok but definitely nothing great ',neutral
527,AMBIENCE#GENERAL,'The ambience was nice, but service wasnt so great ',positive
528,SERVICE#GENERAL,'The ambience was nice, but service wasnt so great ',negative
529,RESTAURANT#GENERAL,'When you add it all together, it just doesnt seem worth it to me especially considering the prices ',negative
530,RESTAURANT#PRICES,'When you add it all together, it just doesnt seem worth it to me especially considering the prices ',negative
531,RESTAURANT#GENERAL,'This is the BEST Shabu-Shabu Restaurant in the Try-State Area ',positive
532,FOOD#QUALITY,'I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan ',positive
533,AMBIENCE#GENERAL,'I have lived in Japan for 7 years and the taste of the food and the feel of the restaurant is like being back in Japan ',positive
534,FOOD#QUALITY,'Thius is a must for anyone who loves Shabu-Shabu ',positive
535,AMBIENCE#GENERAL,'The atmosphere is nothing special, but it feels like a Sushi establishment in Tokyo ',positive
536,RESTAURANT#MISCELLANEOUS,'The owner and staff are all Japanese as well and that adds to the entire ambiance ',positive
537,RESTAURANT#MISCELLANEOUS,'The owner and staff are all Japanese as well and that adds to the entire ambiance ',positive
538,AMBIENCE#GENERAL,'The owner and staff are all Japanese as well and that adds to the entire ambiance ',positive
539,FOOD#STYLE_OPTIONS,'Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art ',negative
540,FOOD#QUALITY,'Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art ',positive
541,FOOD#STYLE_OPTIONS,'Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art ',positive
542,RESTAURANT#GENERAL,'I must give it Yon out of Yon stars ',positive
543,FOOD#QUALITY,'Taxan delicious ',positive
544,RESTAURANT#PRICES,'The prices were CHEAP compared to the quality of service and food ',positive
545,SERVICE#GENERAL,'The prices were CHEAP compared to the quality of service and food ',positive
546,FOOD#QUALITY,'The prices were CHEAP compared to the quality of service and food ',positive
547,RESTAURANT#GENERAL,'We liked it so much, that we will always make it a point to dine here when we visit New York ',positive
548,RESTAURANT#PRICES,'Moderate prices ',neutral
549,AMBIENCE#GENERAL,'A little noise but I think that was because of our party ',neutral
550,FOOD#QUALITY,'The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment ',positive
551,FOOD#QUALITY,'The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment ',positive
552,FOOD#QUALITY,'The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment ',positive
553,FOOD#QUALITY,'The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment ',positive
554,FOOD#QUALITY,'Whether its the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite ',positive
555,FOOD#QUALITY,'Whether its the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite ',positive
556,AMBIENCE#GENERAL,'Although the tables may be closely situated, the candle-light, food-quality and service overcompensate ',positive
557,FOOD#QUALITY,'Although the tables may be closely situated, the candle-light, food-quality and service overcompensate ',positive
558,SERVICE#GENERAL,'Although the tables may be closely situated, the candle-light, food-quality and service overcompensate ',positive
559,AMBIENCE#GENERAL,'Although the tables may be closely situated, the candle-light, food-quality and service overcompensate ',negative
560,RESTAURANT#GENERAL,'A guaranteeed delight ',positive
561,FOOD#QUALITY,'I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices ',positive
562,DRINKS#QUALITY,'I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices ',positive
563,FOOD#PRICES,'I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices ',positive
564,DRINKS#PRICES,'I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices ',positive
565,FOOD#QUALITY,'If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm  everything is just delicious ',positive
566,FOOD#QUALITY,'If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm  everything is just delicious ',positive
567,FOOD#QUALITY,'If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm  everything is just delicious ',positive
568,FOOD#QUALITY,'If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm  everything is just delicious ',positive
569,FOOD#QUALITY,'If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm  everything is just delicious ',positive
570,FOOD#QUALITY,'If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm  everything is just delicious ',positive
571,AMBIENCE#GENERAL,'Check out the secret back room ',positive
572,FOOD#QUALITY,'I found the food, service and value exceptional everytime I have been there ',positive
573,SERVICE#GENERAL,'I found the food, service and value exceptional everytime I have been there ',positive
574,RESTAURANT#PRICES,'I found the food, service and value exceptional everytime I have been there ',positive
575,FOOD#QUALITY,'The food was authentic ',positive
576,FOOD#QUALITY,'I felt as though I were eating in Paris ',positive
577,SERVICE#GENERAL,'The service was excellent - friendly and attentive ',positive
578,RESTAURANT#PRICES,'The prices are wonderfully low ',positive
579,DRINKS#STYLE_OPTIONS,'Very good wine choices ',positive
580,SERVICE#GENERAL,'Great staff ',positive
581,SERVICE#GENERAL,'Always great service ',positive
582,RESTAURANT#GENERAL,'I go twice a month ',positive
583,RESTAURANT#GENERAL,'Fantastic ',positive
584,FOOD#QUALITY,'The food is good, I cant lie ',positive
585,SERVICE#GENERAL,'But the staff was so horrible to us ',negative
586,SERVICE#GENERAL,'The hostess and the waitress were incredibly rude and did everything they could to rush us out ',negative
587,SERVICE#GENERAL,'The hostess and the waitress were incredibly rude and did everything they could to rush us out ',negative
588,SERVICE#GENERAL,'We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order ',negative
589,RESTAURANT#PRICES,'This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price ',negative
590,FOOD#QUALITY,'This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price ',positive
591,SERVICE#GENERAL,'This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price ',negative
592,RESTAURANT#GENERAL,'Save yourself the time and trouble and skip this one ',negative
593,FOOD#QUALITY,'I ate here a week ago and found most dishes average at best and too expensive ',negative
594,FOOD#PRICES,'I ate here a week ago and found most dishes average at best and too expensive ',negative
595,RESTAURANT#GENERAL,'Will not be back ',negative
596,FOOD#QUALITY,'Dont dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections ',negative
597,FOOD#QUALITY,'Dont dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections ',positive
598,AMBIENCE#GENERAL,'Decor is nice though service can be spotty ',positive
599,SERVICE#GENERAL,'Decor is nice though service can be spotty ',negative
600,RESTAURANT#MISCELLANEOUS,'This place is always packed ',neutral
601,RESTAURANT#GENERAL,'Haru on Park S is simply disgusting ',negative
602,FOOD#QUALITY,'The fish was not fresh and the rice tasted old and stale ',negative
603,FOOD#QUALITY,'The fish was not fresh and the rice tasted old and stale ',negative
604,FOOD#QUALITY,'Quite frankly, this is some of the worst sushi I have ever tried ',negative
605,RESTAURANT#GENERAL,'Will never be back ',negative
606,FOOD#QUALITY,'honestly the worst sushi my husband and i had in our entire lives ',negative
607,FOOD#QUALITY,'the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish ',negative
608,FOOD#QUALITY,'the only things u could really taste are the very salty soy sauce (even its low sodium), the vinegar-soaked rice, and the scallion on top of the fish ',negative
609,SERVICE#GENERAL,'the waitstaffs are nice though ',positive
610,RESTAURANT#GENERAL,'wont come back again for sure ',negative
611,RESTAURANT#GENERAL,'I have been to Roths twice and both times were very disappointing ',negative
612,FOOD#QUALITY,'Try the Pad Thai, its fabulous and their prices are so cheap ',positive
613,RESTAURANT#PRICES,'Try the Pad Thai, its fabulous and their prices are so cheap ',positive
614,FOOD#STYLE_OPTIONS,'Just because its cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT ',positive
615,FOOD#QUALITY,'Just because its cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT ',positive
616,RESTAURANT#PRICES,'Just because its cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT ',positive
617,SERVICE#GENERAL,'They forgot a sandwich, didnt include plastic forks, and didnt include pita with the hummus platter ',negative
618,FOOD#STYLE_OPTIONS,'Also, the sandwiches (nearing $7) didnt come with anything like chips or a side ',negative
619,FOOD#PRICES,'Also, the sandwiches (nearing $7) didnt come with anything like chips or a side ',negative
620,RESTAURANT#GENERAL,'Overall, not worth the money ',negative
621,RESTAURANT#PRICES,'Overall, not worth the money ',negative
622,AMBIENCE#GENERAL,'Eating in, the atmosphere saves it, but at your desk, its a very disappointing experience ',positive
623,RESTAURANT#GENERAL,'Eating in, the atmosphere saves it, but at your desk, its a very disappointing experience ',negative
624,FOOD#STYLE_OPTIONS,'This restaurant is VEGETARIAN; there are NO MEAT dishes whatsoever ',negative
625,AMBIENCE#GENERAL,'The seats are uncomfortable if you are sitting against the wall on wooden benches ',negative
626,RESTAURANT#MISCELLANEOUS,'Its a rather cramped and busy restaurant and it closes early ',negative
627,AMBIENCE#GENERAL,'Its a rather cramped and busy restaurant and it closes early ',negative
628,AMBIENCE#GENERAL,'Patroon features a nice cigar bar and has great staff ',positive
629,SERVICE#GENERAL,'Patroon features a nice cigar bar and has great staff ',positive
630,FOOD#QUALITY,'The food is tasty and portion sizes are appropriate ',positive
631,FOOD#STYLE_OPTIONS,'The food is tasty and portion sizes are appropriate ',positive
632,RESTAURANT#MISCELLANEOUS,'This is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates ',positive
633,RESTAURANT#MISCELLANEOUS,'Not a great place for family or general dining ',negative
634,RESTAURANT#GENERAL,'LLOOVVE THIS PLACE ',positive
635,FOOD#QUALITY,'Food is excellent ',positive
636,FOOD#QUALITY,'Fish is so very fresh ',positive
637,SERVICE#GENERAL,'Waitstaff are very friendly ',positive
638,RESTAURANT#GENERAL,'Love YUKA ',positive
639,FOOD#QUALITY,'Mermaid Inn is an overall good restaurant with really good seafood ',positive
640,RESTAURANT#GENERAL,'Mermaid Inn is an overall good restaurant with really good seafood ',positive
641,FOOD#STYLE_OPTIONS,'The menu is limited but almost all of the dishes are excellent ',negative
642,FOOD#QUALITY,'The menu is limited but almost all of the dishes are excellent ',positive
643,FOOD#QUALITY,'The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great ',positive
644,FOOD#QUALITY,'The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great ',positive
645,SERVICE#GENERAL,'The service is good and ambience is good for a date or group outing ',positive
646,AMBIENCE#GENERAL,'The service is good and ambience is good for a date or group outing ',positive
647,RESTAURANT#PRICES,'The only fallback on this restaurant is the prices ',negative
648,FOOD#QUALITY,'Even though its good seafood, the prices are too high ',positive
649,FOOD#PRICES,'Even though its good seafood, the prices are too high ',negative
650,FOOD#QUALITY,'The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price ',positive
651,FOOD#STYLE_OPTIONS,'The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price ',negative
652,FOOD#PRICES,'The lobster sandwich is $24 and although it was good it was not nearly enough to warrant that price ',negative
653,RESTAURANT#GENERAL,'We were very pleasantly surprised ',positive
654,FOOD#QUALITY,'The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch ',positive
655,FOOD#QUALITY,'The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch ',positive
656,FOOD#QUALITY,'The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch ',positive
657,SERVICE#GENERAL,'The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch ',positive
658,SERVICE#GENERAL,'When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort ',positive
659,SERVICE#GENERAL,'Truly the mark of an attentive waiter ',positive
660,RESTAURANT#GENERAL,'I highly recommend the restaurant based on our experience last night ',positive
661,FOOD#QUALITY,'We ate at this Thai place following the reviews but very unhappy with the foods ',negative
662,FOOD#QUALITY,'We thought that this place is using too much of MSG cooking in the foods ',negative
663,FOOD#QUALITY,'I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab ',positive
664,FOOD#QUALITY,'I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab ',positive
665,FOOD#QUALITY,'I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab ',positive
666,FOOD#QUALITY,'I recommend the jelly fish, drunken chicken and the soupy dumplings, certainly the stir fry blue crab ',positive
667,FOOD#PRICES,'The food is so cheap and the waiters are nice ',positive
668,SERVICE#GENERAL,'The food is so cheap and the waiters are nice ',positive
669,RESTAURANT#MISCELLANEOUS,'Of course, it is crowded but who cares ',neutral
670,RESTAURANT#MISCELLANEOUS,'Authentic Shanghai style and I cannot recommend a better Shanghai place in New York ',positive
671,FOOD#QUALITY,'Have frequented ino for several years and the food remains excellent ',positive
672,FOOD#QUALITY,'Cheese plate is a varied delight and great bargain at $10 ',positive
673,FOOD#STYLE_OPTIONS,'Cheese plate is a varied delight and great bargain at $10 ',positive
674,FOOD#PRICES,'Cheese plate is a varied delight and great bargain at $10 ',positive
675,FOOD#STYLE_OPTIONS,'The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating ',positive
676,FOOD#STYLE_OPTIONS,'The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating ',positive
677,FOOD#STYLE_OPTIONS,'The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating ',positive
678,FOOD#QUALITY,'(The asparagus, truffle oil, parmesan bruschetta is a winner ) ',positive
679,DRINKS#STYLE_OPTIONS,'Wine list is extensive without being over-priced ',positive
680,DRINKS#PRICES,'Wine list is extensive without being over-priced ',positive
681,FOOD#QUALITY,'Be sure to try the seasonal, and always delicious, specials ',positive
682,RESTAURANT#GENERAL,'Definitely a neighborhood favorite ',positive
683,RESTAURANT#GENERAL,'I loved this place ',positive
684,AMBIENCE#GENERAL,'I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded ',positive
685,FOOD#QUALITY,'The food was very good, a great deal, and the place its self was great ',positive
686,FOOD#PRICES,'The food was very good, a great deal, and the place its self was great ',positive
687,AMBIENCE#GENERAL,'The food was very good, a great deal, and the place its self was great ',positive
688,SERVICE#GENERAL,'The wait staff is very freindly, they make it feel like youre eating in a freindly little european town ',positive
689,SERVICE#GENERAL,'I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent ',negative
690,RESTAURANT#GENERAL,'I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent ',positive
691,SERVICE#GENERAL,'The service was terrible, we had to wait for everything and ask several of different people for the same thing before we were allowed to be served ',negative
692,SERVICE#GENERAL,'The waitress, seems to be more concerned of looking good than actually waitressing ',negative
693,SERVICE#GENERAL,'After dinner the manager grabbed my boyfriend, asked him: Where are you from maybe you dont know how things work in America and in the end stormed away almost teareyed yelling that tips are the only thing they survive on ',negative
694,SERVICE#GENERAL,'We did tip, I guess the model/waitress just wanted more and complained to the manager ',negative
695,SERVICE#GENERAL,'The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place ',negative
696,RESTAURANT#GENERAL,'The whole set up is truly unprofessional and I wish Cafe Noir would get some good staff, because despite the current one this is a great place ',positive
697,FOOD#QUALITY,'Pizza here is consistently good ',positive
698,FOOD#QUALITY,'Salads are a delicious way to begin the meal ',positive
699,FOOD#QUALITY,'You should pass on the calamari ',negative
700,FOOD#QUALITY,'It is thick and slightly soggy ',negative
701,AMBIENCE#GENERAL,'Decor is charming ',positive
702,SERVICE#GENERAL,'Service is average ',neutral
703,RESTAURANT#GENERAL,'What a great place ',positive
704,RESTAURANT#GENERAL,'Never again ',negative
705,RESTAURANT#GENERAL,'I absolutely Loved this place ',positive
706,RESTAURANT#GENERAL,'Everything was wonderful; food, drinks, staff, mileau ',positive
707,FOOD#QUALITY,'Everything was wonderful; food, drinks, staff, mileau ',positive
708,DRINKS#QUALITY,'Everything was wonderful; food, drinks, staff, mileau ',positive
709,SERVICE#GENERAL,'Everything was wonderful; food, drinks, staff, mileau ',positive
710,AMBIENCE#GENERAL,'Everything was wonderful; food, drinks, staff, mileau ',positive
711,RESTAURANT#GENERAL,'I would highly recommend this place ',positive
712,RESTAURANT#GENERAL,'I have been to Casimir over 5 times and I have always had a great time there ',positive
713,FOOD#QUALITY,'The food is great and reasonably priced ',positive
714,FOOD#PRICES,'The food is great and reasonably priced ',positive
715,SERVICE#GENERAL,'I have tried to make reservations, but both times, the hostess didnt have my name ',negative
716,AMBIENCE#GENERAL,'If the weather is nice, try to snag an outside table ',positive
717,SERVICE#GENERAL,'The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often ',positive
718,SERVICE#GENERAL,'The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often ',negative
719,AMBIENCE#GENERAL,'The staff has been nice, but they seemed really stressed and the unisex bathroom needs to be cleaned more often ',negative
720,RESTAURANT#GENERAL,'My boyfriend and I went there to celebrate my birthday the other night and all I can say is that it was magnificent ',positive
721,FOOD#QUALITY,'From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it ',positive
722,SERVICE#GENERAL,'From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it ',positive
723,SERVICE#GENERAL,'Considering we were the last patrons there and it was after the closing time, the waitstaff did not rush us at all and made us feel comfortable and relaxed ',positive
724,FOOD#QUALITY,'I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service ',positive
725,SERVICE#GENERAL,'I highly recommend Caviar Russe to anyone who wants delicious top grade caviar and fantastic service ',positive
726,RESTAURANT#GENERAL,'Nice Family owned traditional restaurant ',positive
727,FOOD#QUALITY,'Fresh ingredients and everything is made to order ',positive
728,FOOD#QUALITY,'Fresh ingredients and everything is made to order ',positive
729,RESTAURANT#GENERAL,'I was pleasantly surprised to find this gem in Hoboken ',positive
730,SERVICE#GENERAL,'Friendly staff that actually lets you enjoy your meal and the company youre with ',positive
731,DRINKS#QUALITY,'I also ordered the Change Mojito, which was out of this world ',positive
732,FOOD#QUALITY,'My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good not outstanding, but good ',neutral
733,AMBIENCE#GENERAL,'We ate out in the back patio, which is worth it as its cool and the music is hear well there ',positive
734,AMBIENCE#GENERAL,'We ate out in the back patio, which is worth it as its cool and the music is hear well there ',positive
735,RESTAURANT#GENERAL,'Overall, excellent restaurant ',positive
736,FOOD#STYLE_OPTIONS,'The buffet had a nice selection ',positive
737,FOOD#QUALITY,'The food was average or above including some surprising tasty dishes ',positive
738,FOOD#QUALITY,'The food was average or above including some surprising tasty dishes ',positive
739,SERVICE#GENERAL,'Service was also very good ',positive
740,RESTAURANT#GENERAL,'I would go back ',positive
741,FOOD#QUALITY,'I got an excellent piece of cheesecake and we had several other nice pastries ',positive
742,FOOD#QUALITY,'I got an excellent piece of cheesecake and we had several other nice pastries ',positive
743,FOOD#QUALITY,'I would recommend Roxys for that, but not for their food ',negative
744,FOOD#QUALITY,'I would recommend Roxys for that, but not for their food ',positive
745,FOOD#STYLE_OPTIONS,'My son and his girlfriend both wanted cheeseburgers and they were huge ',neutral
746,FOOD#STYLE_OPTIONS,'But, they were too big for the bun ',negative
747,FOOD#STYLE_OPTIONS,'Consequently, their burgers fell apart in their hands and made such a mess that they didnt feel like finishing them ',negative
748,FOOD#PRICES,'Also they were $15 each ',negative
749,FOOD#STYLE_OPTIONS,'I had a huge pastrami sandwich on a roll ',neutral
750,FOOD#PRICES,'It was $14 not really bad for a pound of Pastrami-but it didnt have much taste-Ive had better for less elsewhere ',neutral
751,FOOD#QUALITY,'It was $14 not really bad for a pound of Pastrami-but it didnt have much taste-Ive had better for less elsewhere ',negative
752,FOOD#QUALITY,'This place is really trendi but they have forgotten about the most important part of a  restaurant, the food ',negative
753,AMBIENCE#GENERAL,'This place is really trendi but they have forgotten about the most important part of a  restaurant, the food ',positive
754,FOOD#QUALITY,'The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish ',negative
755,FOOD#QUALITY,'The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish ',negative
756,FOOD#QUALITY,'And the Tom Kha soup was pathetic ',negative
757,FOOD#QUALITY,'If you want good authentic Thai this place is not the place to go ',negative
758,FOOD#QUALITY,'We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food ',positive
759,FOOD#QUALITY,'The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that Id never heard of before ',positive
760,FOOD#QUALITY,'The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that Id never heard of before ',positive
761,LOCATION#GENERAL,'Conveniently located too, being right on Bedford ave ',positive
762,AMBIENCE#GENERAL,'THe back garden sitting area is very pleasant, where you can see their personal herb garden ',positive
763,RESTAURANT#GENERAL,'I will definetly be going back ',positive
764,FOOD#QUALITY,'We had the lobster sandwich and it was FANTASTIC ',positive
765,FOOD#STYLE_OPTIONS,'My husband said he couldve eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had ',negative
766,FOOD#STYLE_OPTIONS,'My husband said he couldve eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had ',positive
767,FOOD#QUALITY,'My husband said he couldve eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had ',positive
768,FOOD#QUALITY,'We had the scallops as an appetizer and they were delicious and the sauce was wonderful ',positive
769,FOOD#QUALITY,'We had the scallops as an appetizer and they were delicious and the sauce was wonderful ',positive
770,RESTAURANT#PRICES,'and you cant beat the prices ',positive
771,RESTAURANT#GENERAL,'highly recommended ',positive
772,RESTAURANT#GENERAL,'Ive lived in NY for 5 years and this place has it all ',positive
773,FOOD#QUALITY,'Great food, good size menu, great service and an unpretensious setting ',positive
774,FOOD#STYLE_OPTIONS,'Great food, good size menu, great service and an unpretensious setting ',positive
775,SERVICE#GENERAL,'Great food, good size menu, great service and an unpretensious setting ',positive
776,AMBIENCE#GENERAL,'Great food, good size menu, great service and an unpretensious setting ',positive
777,FOOD#QUALITY,'The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest Ive ever had) ',positive
778,FOOD#QUALITY,'The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest Ive ever had) ',positive
779,FOOD#QUALITY,'The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest Ive ever had) ',positive
780,FOOD#QUALITY,'The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest Ive ever had) ',positive
781,FOOD#QUALITY,'The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest Ive ever had) ',positive
782,RESTAURANT#GENERAL,'Im glad I was introduced to this place and this is a rare gem in NY ',positive
783,SERVICE#GENERAL,'The service was excellent and the food was delicious ',positive
784,FOOD#QUALITY,'The service was excellent and the food was delicious ',positive
785,FOOD#QUALITY,'We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura ',positive
786,FOOD#QUALITY,'We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura ',positive
787,FOOD#QUALITY,'We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura ',positive
788,FOOD#QUALITY,'We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura ',positive
789,FOOD#QUALITY,'We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura ',positive
790,FOOD#QUALITY,'We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura ',positive
791,DRINKS#QUALITY,'We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura ',positive
792,FOOD#QUALITY,'We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura ',positive
793,SERVICE#GENERAL,'Ive waited over one hour for food ',negative
794,SERVICE#GENERAL,'They were very abrupt with me when I called and actually claimed the food was late because they were out of rice ',negative
795,RESTAURANT#MISCELLANEOUS,'A Thai restaurant out of rice during dinner ',negative
796,FOOD#QUALITY,'The food arrived 20 minutes after I called, cold and soggy ',negative
797,SERVICE#GENERAL,'The food arrived 20 minutes after I called, cold and soggy ',negative
798,SERVICE#GENERAL,'An excellent service ',positive
799,SERVICE#GENERAL,'Service here was great, food was fantastic ',positive
800,FOOD#QUALITY,'Service here was great, food was fantastic ',positive
801,FOOD#QUALITY,'Guacamole+shrimp appetizer was really great, we both had the filet, very good, didnt much like the frites that came with, but the filet was so good, neither of us cared ',positive
802,FOOD#QUALITY,'Guacamole+shrimp appetizer was really great, we both had the filet, very good, didnt much like the frites that came with, but the filet was so good, neither of us cared ',positive
803,FOOD#QUALITY,'Guacamole+shrimp appetizer was really great, we both had the filet, very good, didnt much like the frites that came with, but the filet was so good, neither of us cared ',negative
804,RESTAURANT#GENERAL,'Will absolutely visit again ',positive
805,RESTAURANT#MISCELLANEOUS,'Always a nice crowd, but never loud ',positive
806,AMBIENCE#GENERAL,'Always a nice crowd, but never loud ',positive
807,RESTAURANT#GENERAL,'Go here ',positive
808,RESTAURANT#MISCELLANEOUS,'Good for dates or with friends ',positive
809,RESTAURANT#MISCELLANEOUS,'I am reluctant to write because I would not want my jem of a pizza place to become overcrowded ',positive
810,RESTAURANT#GENERAL,'However, it is jus too good to not praise it ',positive
811,FOOD#QUALITY,'By far, the best pizza in Manhattan ',positive
812,FOOD#QUALITY,'The crust is thin, the ingredients are fresh and the staff is friendly ',positive
813,SERVICE#GENERAL,'The crust is thin, the ingredients are fresh and the staff is friendly ',positive
814,FOOD#QUALITY,'The crust is thin, the ingredients are fresh and the staff is friendly ',positive
815,FOOD#QUALITY,'The fish was really,really fresh ',positive
816,FOOD#QUALITY,'I highly recommend the Sophia pizza ',positive
817,FOOD#QUALITY,'Its to die for ',positive
818,FOOD#QUALITY,'The food was mediocre at best but it was the horrible service that made me vow never to go back ',negative
819,SERVICE#GENERAL,'The food was mediocre at best but it was the horrible service that made me vow never to go back ',negative
820,SERVICE#GENERAL,'Immediately after we paid, the waiter took the money and said, okay, you guys are outta here ',negative
821,SERVICE#GENERAL,'So rushing us out was absolutely unnecessary ',negative
822,FOOD#QUALITY,'For the people who want great food plus great service, Roxy is a place to AVOID ',negative
823,SERVICE#GENERAL,'For the people who want great food plus great service, Roxy is a place to AVOID ',negative
824,RESTAURANT#GENERAL,'Im sure Ill return for a final judgement tho ',neutral
825,AMBIENCE#GENERAL,'The blond wood decor is very soothing, the premium sake is excellent and the service is great ',positive
