@relation restaurant#miscellaneous

@attribute id numeric
@attribute words string
@attribute lemmas string
@attribute pos string
@attribute bigrams string
@attribute feature_appearance_of_type1 numeric
@attribute feature_appearance_of_type2 numeric
@attribute feature_appearance_of_type3 numeric
@attribute feature_appearance_of_type4 numeric
@attribute feature_appearance_of_type5 numeric
@attribute feature_appearance_of_type6 numeric
@attribute feature_appearance_of_type7 numeric
@attribute feature_appearance_of_type8 numeric
@attribute feature_appearance_of_type9 numeric
@attribute feature_appearance_of_type10 numeric
@attribute feature_appearance_of_type11 numeric
@attribute feature_appearance_of_type12 numeric
@attribute aspecttype {true, false}

@data
3878,'wine list is excellent. ','wine list be ','NN NN VBZ  ','wine_list list_is is_excellent. ',1,1,1,1,2,1,2,2,3,1,3,1,false
3890,'food is amazing. especially if you get the Chefs tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines. ','food be ','NN VBZ                        ','food_is is_amazing. amazing._especially especially_if if_you you_get get_the the_Chefs Chefs_tasting tasting_menu menu_and and_your your_favourite favourite_bottle bottle_(or (or_two!) two!)_of of_wine wine_from from_an an_extensive extensive_selection selection_of of_wines. ',2,2,1,2,5,2,1,1,1,2,2,1,false
3902,'The food is amazing. get Chefs tasting menu favourite bottle (or two!) of wine from an extensive selection of wines. ','get taste menu favourite bottle ','    VBP  VBG NN JJ NN           ','The_food food_is is_amazing. amazing._get get_Chefs Chefs_tasting tasting_menu menu_favourite favourite_bottle bottle_(or (or_two!) two!)_of of_wine wine_from from_an an_extensive extensive_selection selection_of of_wines. ',2,1,2,1,5,2,1,1,1,1,2,1,false
3914,'The food is amazing. especially if you get the Chefs tasting menu and your favourite bottle (or two!) wine extensive selection wines. ','wine extensive selection ','                  NN JJ NN  ','The_food food_is is_amazing. amazing._especially especially_if if_you you_get get_the the_Chefs Chefs_tasting tasting_menu menu_and and_your your_favourite favourite_bottle bottle_(or (or_two!) two!)_wine wine_extensive extensive_selection selection_wines. ',0,0,0,0,0,0,1,1,1,0,1,0,false
3926,'place is small intimate feel little crowded, service is excellent its great friends out, romantic date, special occassion. ','place be small intimate feel little service be excellent great friend romantic special ','NN VBZ JJ JJ VB JJ  NN VBZ JJ  JJ NNS  JJ  JJ  ','place_is is_small small_intimate intimate_feel feel_little little_crowded, crowded,_service service_is is_excellent excellent_its its_great great_friends friends_out, out,_romantic romantic_date, date,_special special_occassion. ',7,4,4,2,12,4,2,2,2,11,10,2,true
3938,'menu is limited think counted entrees. ','menu be limited think count ','NN VBZ JJ VBP VBD  ','menu_is is_limited limited_think think_counted counted_entrees. ',1,1,1,1,2,2,1,1,1,1,1,1,false
3950,'ordered special, grilled branzino, was infused bone, was difficult eat. ','order grill be infuse be difficult ','VBD  VBN  VBD VBN  VBD JJ  ','ordered_special, special,_grilled grilled_branzino, branzino,_was was_infused infused_bone, bone,_was was_difficult difficult_eat. ',2,1,2,1,4,1,1,1,1,1,3,1,false
3962,'decor place is diner-ish kind place expect East Village romantic, simple, small sparse. ','decor place be kind place expect east village small ','NN NN VBZ  NN NN VBP NNP NNP   JJ  ','decor_place place_is is_diner-ish diner-ish_kind kind_place place_expect expect_East East_Village Village_romantic, romantic,_simple, simple,_small small_sparse. ',3,2,3,1,5,2,1,1,1,6,4,1,false
3974,'Problem is nothing Prune is memorable. ','problem be nothing prune be ','NNP VBZ NN NNP VBZ  ','Problem_is is_nothing nothing_Prune Prune_is is_memorable. ',0,0,0,0,1,0,0,0,0,0,1,0,false
3986,'plans return soon. ','plan return ','NNS VB  ','plans_return return_soon. ',2,0,1,0,1,0,0,0,0,0,1,0,false
3998,'place is much fun. ','place be much ','NN VBZ JJ  ','place_is is_much much_fun. ',3,1,2,0,3,0,0,0,0,2,2,0,false
4010,'family expected such incredible entertainment restaurant. ','family expect such incredible entertainment ','NN VBD JJ JJ NN  ','family_expected expected_such such_incredible incredible_entertainment entertainment_restaurant. ',2,1,1,0,3,0,0,0,0,1,2,0,false
4022,'food was great too! ','food be great ','NN VBD JJ  ','food_was was_great great_too! ',3,2,1,2,4,2,1,1,1,2,3,1,false
4034,'large portions. ','large ','JJ  ','large_portions. ',1,0,0,0,2,2,0,0,0,1,1,0,false
4046,'staff was friendliest have seen New York. ','staff be friendly have see new ','NN VBD JJS VBP VBN NNP  ','staff_was was_friendliest friendliest_have have_seen seen_New New_York. ',1,1,1,1,3,1,1,1,1,2,2,1,false
4058,'go time are City. ','go time be ','VB NN VBP  ','go_time time_are are_City. ',4,1,2,1,3,1,1,1,1,2,2,1,false
4070,'want something different try Jekyll Hyde. ','want something different try jekyll ','VBP NN JJ VB NNP  ','want_something something_different different_try try_Jekyll Jekyll_Hyde. ',2,0,0,0,4,0,0,0,0,1,3,0,false
4082,'is lot fun live entertainment kinds Disney type special effects. ','be lot fun live entertainment kind disney type special ','VBZ NN NN JJ NN NNS NNP NN JJ  ','is_lot lot_fun fun_live live_entertainment entertainment_kinds kinds_Disney Disney_type type_special special_effects. ',1,0,1,0,1,0,0,0,0,0,0,0,false
4094,'food was tradional was hot good large portions. ','food be tradional be hot good large ','NN VBD JJ VBD JJ JJ JJ  ','food_was was_tradional tradional_was was_hot hot_good good_large large_portions. ',3,3,1,3,7,5,1,1,2,3,3,1,false
4106,'recommend it. ','recommend ','VBP  ','recommend_it. ',4,0,0,0,2,0,0,0,0,0,0,0,false
4118,'However, think Jeckll Hydes t is places is fun do once. ','think jeckll hydes t be place be fun do ',' VBP NNP NNP NN VBZ NNS VBZ JJ VB  ','However,_think think_Jeckll Jeckll_Hydes Hydes_t t_is is_places places_is is_fun fun_do do_once. ',4,1,1,0,3,0,0,0,0,1,2,0,false
4130,'had good time. ','have good ','VBD JJ  ','had_good good_time. ',2,1,1,1,2,1,0,0,1,1,2,0,false
4142,'Went wife had wait table see many were empty reservation sigh them. ','go wife have wait table see many be empty reservation sigh ','VBD NN VBD VB NN VB JJ VBD JJ NN NN  ','Went_wife wife_had had_wait wait_table table_see see_many many_were were_empty empty_reservation reservation_sigh sigh_them. ',2,1,1,1,4,1,1,1,1,1,6,1,false
4154,'Service was slow had wait order get food crowded. ','service be slow have wait order get food ','NN VBD JJ VBD VB VB VB NN  ','Service_was was_slow slow_had had_wait wait_order order_get get_food food_crowded. ',3,2,0,1,5,2,0,0,0,2,7,0,false
4166,'Drinks priced. ','drink ','NNPS  ','Drinks_priced. ',1,1,0,1,2,0,0,1,0,0,1,0,false
4178,'Food was good great worth wait visit ','food be good great worth wait visit ','NN VBD JJ JJ JJ NN NN ','Food_was was_good good_great great_worth worth_wait wait_visit ',8,5,2,5,7,4,2,2,3,4,6,2,false
4190,'Great pizza lunch place. ','great pizza lunch ','JJ NN NN  ','Great_pizza pizza_lunch lunch_place. ',4,2,2,1,4,1,1,1,1,2,3,1,false
4202,'Service was quick. ','service be ','NNP VBD  ','Service_was was_quick. ',0,1,0,0,1,1,0,0,0,1,2,0,false
4214,'pizza was great. ','pizza be ','NN VBD  ','pizza_was was_great. ',3,2,2,2,5,2,2,2,2,2,3,2,false
4226,'was quick is important. ','be quick be ','VBD JJ VBZ  ','was_quick quick_is is_important. ',0,0,0,0,0,0,0,0,0,0,0,0,false
4238,'Have iced tea. ','have iced ','VBP JJ  ','Have_iced iced_tea. ',1,1,1,1,1,1,1,1,1,1,1,1,false
4250,'was wonderful. ','be ','VBD  ','was_wonderful. ',0,0,0,0,0,0,0,0,0,0,0,0,false
4262,'need Sushi fix, Mizu be quality fish great service. ','need sushi mizu be quality fish great ','VBP NNP  NNP VB NN NN JJ  ','need_Sushi Sushi_fix, fix,_Mizu Mizu_be be_quality quality_fish fish_great great_service. ',5,3,2,2,11,3,2,2,2,3,9,2,false
4274,'Delivery is too. ','delivery be ','NN VBZ  ','Delivery_is is_too. ',0,0,0,0,0,0,0,0,0,0,1,0,false
4286,'Great friendly service, Fast seating, Fast Delivery, Excellent sushi. ','great friendly fast fast excellent ','JJ JJ  JJ  JJ  NNP  ','Great_friendly friendly_service, service,_Fast Fast_seating, seating,_Fast Fast_Delivery, Delivery,_Excellent Excellent_sushi. ',2,2,1,1,6,2,1,1,1,2,8,1,false
4298,'little overpriced worth take bite. ','little overpriced worth take ','JJ JJ JJ VBP  ','little_overpriced overpriced_worth worth_take take_bite. ',2,2,0,3,5,0,0,0,0,1,2,0,false
4310,'have huge selection different cream cheeses salads are great. ','have huge selection different cream cheese salad be ','VBP JJ NN JJ NN NNS NNS VBP  ','have_huge huge_selection selection_different different_cream cream_cheeses cheeses_salads salads_are are_great. ',3,2,2,2,8,2,2,2,2,2,5,2,false
4322,'lox is fresh too. ','lox be fresh ','NN VBZ JJ  ','lox_is is_fresh fresh_too. ',3,1,1,1,4,1,1,1,1,1,2,1,false
4334,'recommended all! ','recommend ','VBD  ','recommended_all! ',3,0,0,0,1,0,0,0,0,0,0,0,false
4346,'impressed food. ','impress ','VBN  ','impressed_food. ',2,2,1,2,4,2,1,1,1,2,2,1,false
4358,'Prices high cramped unappealing resturant. ','price high cramped unappealing ','NNS JJ NN JJ  ','Prices_high high_cramped cramped_unappealing unappealing_resturant. ',1,2,1,1,3,0,0,0,0,1,2,0,false
4370,'Zero ambiance boot. ','zero ambiance ','NNP NN  ','Zero_ambiance ambiance_boot. ',0,0,0,0,0,0,0,0,0,0,0,0,false
4382,'thought place was overrated. ','think place be ','VBD NN VBD  ','thought_place place_was was_overrated. ',2,1,2,0,3,0,0,0,0,2,3,0,false
4394,'Everything had was good ok.but nothing great. ','everything have be good ok.but nothing ','NN VBD VBD JJ JJ NN  ','Everything_had had_was was_good good_ok.but ok.but_nothing nothing_great. ',4,2,1,2,8,2,1,1,2,2,4,1,false
4406,'ambience was nice, service wasnt great. ','ambience be service ','NN VBD  NN   ','ambience_was was_nice, nice,_service service_wasnt wasnt_great. ',4,3,2,2,8,4,2,2,2,5,6,2,false
4418,'add together, doesnt seem worth considering prices. ','add seem worth consider ','VBP   VB JJ VBG  ','add_together, together,_doesnt doesnt_seem seem_worth worth_considering considering_prices. ',3,5,2,3,8,1,1,1,1,1,4,1,false
4430,'is BEST Shabu-Shabu Restaurant Try-State Area. ','be best shabu-shabu restaurant ','VBZ NNP NNP NNP   ','is_BEST BEST_Shabu-Shabu Shabu-Shabu_Restaurant Restaurant_Try-State Try-State_Area. ',5,2,3,1,5,1,1,1,1,3,4,1,false
4442,'have lived Japan years taste food feel restaurant is being Japan. ','have live japan year taste food feel restaurant be be ','VBP VBN NNP NNS NN NN NN NN VBZ VBG  ','have_lived lived_Japan Japan_years years_taste taste_food food_feel feel_restaurant restaurant_is is_being being_Japan. ',5,3,3,2,7,2,1,1,1,6,5,1,false
4454,'Thius is must anyone loves Shabu-Shabu. ','thius be must anyone love ','NNP VBZ NN NN VBZ  ','Thius_is is_must must_anyone anyone_loves loves_Shabu-Shabu. ',4,0,0,0,2,0,0,0,0,0,1,0,false
4466,'atmosphere is nothing special, feels Sushi establishment Tokyo. ','atmosphere be nothing feel sushi establishment ','NN VBZ NN  VBZ JJ NN  ','atmosphere_is is_nothing nothing_special, special,_feels feels_Sushi Sushi_establishment establishment_Tokyo. ',2,1,3,1,8,1,1,1,1,4,5,1,false
4478,'owner staff are Japanese adds entire ambiance. ','owner staff be japanese add entire ','NN NN VBP JJ VBZ JJ  ','owner_staff staff_are are_Japanese Japanese_adds adds_entire entire_ambiance. ',1,1,1,1,4,1,1,1,1,2,2,1,true
4490,'limited menu, everything prepared is done perfection, fresh work food art. ','limited everything prepare be do fresh work food ','JJ  NN VBD VBZ VBN  JJ NN NN  ','limited_menu, menu,_everything everything_prepared prepared_is is_done done_perfection, perfection,_fresh fresh_work work_food food_art. ',2,1,0,1,9,2,0,0,0,1,3,0,false
4502,'give Yon Yon stars! ','give yon yon ','VB NNP NNP  ','give_Yon Yon_Yon Yon_stars! ',1,0,0,0,1,0,0,0,0,0,0,0,false
4514,'Taxan delicious! ','taxan ','JJ  ','Taxan_delicious! ',0,0,0,0,1,0,0,0,0,1,0,0,false
4526,'prices were CHEAP compared quality service food. ','price be cheap compare quality service ','NNS VBD NNP VBN NN NN  ','prices_were were_CHEAP CHEAP_compared compared_quality quality_service service_food. ',2,5,1,3,8,3,1,1,1,3,6,1,false
4538,'liked much, make point dine visit New York. ','like make point dine visit new ','VBD  VB NN VB VBP NNP  ','liked_much, much,_make make_point point_dine dine_visit visit_New New_York. ',6,0,1,0,6,0,0,0,0,2,4,0,false
4550,'Moderate prices. ','moderate ','JJ  ','Moderate_prices. ',0,3,0,1,3,0,0,0,0,0,1,0,false
4562,'little noise think was party! ','little noise think be ','JJ NN VBP VBD  ','little_noise noise_think think_was was_party! ',1,0,0,0,2,0,0,0,0,1,1,0,false
4574,'food is delicious specials regular menu-fare, dishes are disappointment. ','food be delicious special regular dish be ','NN VBZ JJ NNS JJ  NNS VBP  ','food_is is_delicious delicious_specials specials_regular regular_menu-fare, menu-fare,_dishes dishes_are are_disappointment. ',3,2,2,2,10,3,1,1,1,3,3,1,false
4586,'its parmesean porcini souffle lamb glazed balsamic vinegar, be transported Northern Italy bite. ','parmesean porcini souffle lamb glaze balsamic be transport northern italy ',' NN NN NN NN VBN JJ  VB VBN NNP NNP  ','its_parmesean parmesean_porcini porcini_souffle souffle_lamb lamb_glazed glazed_balsamic balsamic_vinegar, vinegar,_be be_transported transported_Northern Northern_Italy Italy_bite. ',4,1,1,1,6,1,1,1,1,3,3,1,false
4598,'tables be situated, candle-light, food-quality service overcompensate. ','table be service ','NNS VB    NN  ','tables_be be_situated, situated,_candle-light, candle-light,_food-quality food-quality_service service_overcompensate. ',2,3,1,2,6,3,1,1,1,4,7,1,false
4610,'guaranteeed delight! ','guaranteeed ','JJ  ','guaranteeed_delight! ',0,0,0,0,0,0,0,0,0,0,0,0,false
4622,'have known secret last years, Emilio(the Godfather) has continued serve food wine gods mortal prices. ','have know secret last have continue serve food wine god mortal ','VBP VBN NN JJ    VBZ VBN VB NN NN NNS JJ  ','have_known known_secret secret_last last_years, years,_Emilio(the Emilio(the_Godfather) Godfather)_has has_continued continued_serve serve_food food_wine wine_gods gods_mortal mortal_prices. ',3,5,2,3,8,2,2,2,2,3,5,1,false
4634,'go, try marinara/arrabiatta sauce, mozzarella Carozza is mmmmmmmm. everything is just delicious. ','try mozzarella carozza be be ',' VB   NN NNP VBZ   VBZ   ','go,_try try_marinara/arrabiatta marinara/arrabiatta_sauce, sauce,_mozzarella mozzarella_Carozza Carozza_is is_mmmmmmmm. mmmmmmmm._everything everything_is is_just just_delicious. ',2,1,1,1,3,1,1,1,1,1,1,1,false
4646,'If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm. everything is delicious. ','be everything be ','           VBZ  NN VBZ  ','If_you you_go, go,_try try_the the_marinara/arrabiatta marinara/arrabiatta_sauce, sauce,_the the_mozzarella mozzarella_en en_Carozza Carozza_is is_mmmmmmmm. mmmmmmmm._everything everything_is is_delicious. ',0,0,0,0,4,0,0,0,0,1,1,0,false
4658,'Check secret back room. ','check secret back ','VB NN NN  ','Check_secret secret_back back_room. ',2,1,1,1,1,1,1,1,1,2,1,1,false
4670,'found food, service value exceptional everytime have been there. ','find service value exceptional everytime have be ','VBD  NN NN JJ NN VBP VBN  ','found_food, food,_service service_value value_exceptional exceptional_everytime everytime_have have_been been_there. ',4,4,2,2,7,3,1,1,1,4,6,1,false
4682,'food was authentic. ','food be ','NN VBD  ','food_was was_authentic. ',2,2,1,2,3,2,1,1,1,2,2,1,false
4694,'felt were eating Paris. ','feel be eat ','VBD VBD VBG  ','felt_were were_eating eating_Paris. ',0,0,0,0,1,0,0,0,0,0,1,0,false
4706,'service was excellent friendly attentive. ','service be excellent friendly ','NN VBD JJ JJ  ','service_was was_excellent excellent_friendly friendly_attentive. ',1,2,1,1,2,2,1,1,1,2,7,1,false
4718,'prices are low. ','price be ','NNS VBP  ','prices_are are_low. ',1,3,1,2,3,1,1,1,1,1,2,1,false
4730,'good wine choices. ','good wine ','JJ NN  ','good_wine wine_choices. ',1,1,0,1,1,1,1,1,2,1,2,0,false
4742,'Great staff. ','great ','JJ  ','Great_staff. ',2,1,1,1,3,1,1,1,1,2,4,1,false
4754,'great service! ','great ','JJ  ','great_service! ',4,2,1,1,5,2,1,1,1,2,5,1,false
4766,'go month! ','go ','VBP  ','go_month! ',0,0,0,0,0,0,0,0,0,0,0,0,false
4778,'Fantastic! ','',' ','',0,0,0,0,1,0,0,0,0,0,0,0,false
4790,'food is good, cant lie. ','food be ','NN VBZ    ','food_is is_good, good,_cant cant_lie. ',4,3,1,3,5,3,1,1,2,3,3,1,false
4802,'staff was horrible us. ','staff be horrible ','NN VBD JJ  ','staff_was was_horrible horrible_us. ',1,1,1,1,3,1,1,1,1,2,2,1,false
4814,'hostess waitress were rude did everything rush out. ','hostess waitress be rude do everything rush ','NN NN VBD JJ VBD NN VB  ','hostess_waitress waitress_were were_rude rude_did did_everything everything_rush rush_out. ',2,1,1,1,5,1,1,1,1,1,5,1,false
4826,'were planning get dessert waitress bill had chance order. ','be plan get dessert waitress bill have chance ','VBD VBG VB NN NN NN VBD NN  ','were_planning planning_get get_dessert dessert_waitress waitress_bill bill_had had_chance chance_order. ',3,1,1,1,3,1,1,1,1,1,5,1,false
4838,'place is pricey, yes, food is worth it; service makes feel be paying quater price. ','place be food be worth service make feel be pay quater ','NN VBZ   NN VBZ JJ  NN VBZ VB VB VBG NN  ','place_is is_pricey, pricey,_yes, yes,_food food_is is_worth worth_it; it;_service service_makes makes_feel feel_be be_paying paying_quater quater_price. ',7,6,4,4,12,3,1,1,1,8,10,1,false
4850,'Save time trouble skip one! ','save time trouble skip ','VB NN NN VB  ','Save_time time_trouble trouble_skip skip_one! ',4,1,3,1,4,1,1,1,1,2,4,1,false
4862,'ate week found most dishes average best expensive. ','eat week find most dish average good ','VBD NN VBD JJS NNS JJ JJS  ','ate_week week_found found_most most_dishes dishes_average average_best best_expensive. ',1,0,0,0,3,0,0,0,0,0,1,0,false
4874,'be back. ','be ','VB  ','be_back. ',3,0,0,0,0,0,0,0,0,1,0,0,false
4886,'Dont dine Tamarind vegetarian dishes, are par non-veg selections. ','dine tamarind vegetarian be par non-veg ',' VB NNP JJ  VBP NN JJ  ','Dont_dine dine_Tamarind Tamarind_vegetarian vegetarian_dishes, dishes,_are are_par par_non-veg non-veg_selections. ',3,1,1,1,6,1,1,1,1,2,4,1,false
4898,'Decor is nice service be spotty. ','decor be nice service be ','NNP VBZ JJ NN VB  ','Decor_is is_nice nice_service service_be be_spotty. ',1,1,0,0,4,2,0,0,0,3,5,0,false
4910,'place is packed. ','place be ','NN VBZ  ','place_is is_packed. ',4,1,2,0,4,0,0,0,0,2,3,0,true
4922,'Haru Park S is disgusting. ','haru park s be ','NNP NNP NNP VBZ  ','Haru_Park Park_S S_is is_disgusting. ',0,0,0,0,0,0,0,0,0,0,0,0,false
4934,'fish was fresh rice tasted old stale. ','fish be fresh rice taste old ','NN VBD JJ NN VBD JJ  ','fish_was was_fresh fresh_rice rice_tasted tasted_old old_stale. ',1,1,1,1,5,1,1,1,1,1,1,1,false
4946,'frankly, is worst sushi have tried. ','be bad sushi have ',' VBZ JJS NNS VBP  ','frankly,_is is_worst worst_sushi sushi_have have_tried. ',2,1,2,1,5,1,1,1,1,2,2,1,false
4958,'be back. ','be ','VB  ','be_back. ',4,0,0,0,2,0,0,0,0,1,1,0,false
4970,'worst husband had entire lives. ','bad husband have entire ','JJS NN VBD JJ  ','worst_husband husband_had had_entire entire_lives. ',2,1,1,1,5,1,1,1,1,1,2,1,false
4982,'only things taste are salty soy sauce (even low sodium), vinegar-soaked rice, scallion top fish. ','only thing taste be salty soy sauce low scallion top ','JJ NNS VB VBP JJ NN NN  JJ    NN NN  ','only_things things_taste taste_are are_salty salty_soy soy_sauce sauce_(even (even_low low_sodium), sodium),_vinegar-soaked vinegar-soaked_rice, rice,_scallion scallion_top top_fish. ',2,1,1,1,10,1,1,1,1,2,6,1,false
4994,'waitstaffs are nice though. ','waitstaff be nice ','NNS VBP JJ  ','waitstaffs_are are_nice nice_though. ',3,1,1,1,4,2,1,1,1,3,5,1,false
5006,'wont come sure! ','come ',' VB  ','wont_come come_sure! ',2,0,0,0,1,0,0,0,0,1,0,0,false
5018,'have been Roths twice times were disappointing. ','have be twice time be ','VBP VBN  NN NNS VBD  ','have_been been_Roths Roths_twice twice_times times_were were_disappointing. ',2,0,1,0,1,0,0,0,0,0,1,0,false
5030,'Try Pad Thai, its fabulous prices are cheap! ','try pad fabulous price be ','VB NNP   JJ NNS VBP  ','Try_Pad Pad_Thai, Thai,_its its_fabulous fabulous_prices prices_are are_cheap! ',3,3,1,2,7,1,1,1,1,3,3,1,false
5042,'its cheap does mean portions are small food is nasty, IS GREAT! ','cheap do mean portion be small food be be ',' JJ VBZ VB NNS VBP JJ NN VBZ  VBZ  ','its_cheap cheap_does does_mean mean_portions portions_are are_small small_food food_is is_nasty, nasty,_IS IS_GREAT! ',5,3,2,3,8,5,2,2,2,6,5,2,false
5054,'forgot sandwich, didnt include plastic forks, didnt include pita hummus platter. ','forget include plastic include pita hummus ','VBD   VB NN   VB NNS JJ  ','forgot_sandwich, sandwich,_didnt didnt_include include_plastic plastic_forks, forks,_didnt didnt_include include_pita pita_hummus hummus_platter. ',1,1,1,1,4,1,1,1,1,1,3,1,false
5066,'Also, sandwiches (nearing $7) didnt come anything chips side. ','sandwich come anything chip ',' NNS    VB NN NNS  ','Also,_sandwiches sandwiches_(nearing (nearing_$7) $7)_didnt didnt_come come_anything anything_chips chips_side. ',3,1,2,1,3,1,1,1,1,2,4,1,false
5078,'Overall, worth money. ','worth ',' JJ  ','Overall,_worth worth_money. ',4,2,1,2,3,1,1,1,1,1,2,1,false
5090,'Eating in, atmosphere saves it, desk, its disappointing experience. ','eat atmosphere save disappointing ','VBG  NN VBZ    JJ  ','Eating_in, in,_atmosphere atmosphere_saves saves_it, it,_desk, desk,_its its_disappointing disappointing_experience. ',4,1,1,1,4,1,1,1,1,4,3,1,false
5102,'restaurant is VEGETARIAN; are MEAT dishes whatsoever. ','restaurant be be meat dish ','NN VBZ  VBP JJ NNS  ','restaurant_is is_VEGETARIAN; VEGETARIAN;_are are_MEAT MEAT_dishes dishes_whatsoever. ',5,2,3,1,7,1,1,1,1,3,4,1,false
5114,'seats are uncomfortable are sitting wall wooden benches. ','seat be uncomfortable be sit wall wooden ','NNS VBP JJ VBP VBG NN JJ  ','seats_are are_uncomfortable uncomfortable_are are_sitting sitting_wall wall_wooden wooden_benches. ',1,1,1,1,1,1,1,1,1,1,2,1,false
5126,'Its cramped busy restaurant closes early. ','cramped busy restaurant close ',' JJ JJ NN VBZ  ','Its_cramped cramped_busy busy_restaurant restaurant_closes closes_early. ',3,2,2,1,4,1,1,1,1,4,3,1,true
5138,'Patroon features nice cigar bar has great staff. ','patroon feature nice cigar bar have great ','NN VBZ JJ NN NN VBZ JJ  ','Patroon_features features_nice nice_cigar cigar_bar bar_has has_great great_staff. ',3,1,1,1,4,2,1,1,1,3,5,1,false
5150,'food is tasty portion sizes are appropriate. ','food be tasty portion size be ','NN VBZ JJ NN NNS VBP  ','food_is is_tasty tasty_portion portion_sizes sizes_are are_appropriate. ',2,2,1,2,4,2,1,1,1,2,2,1,false
5162,'is nice restaurant are looking good place host intimate dinner meeting business associates. ','be nice restaurant be look good place host intimate dinner meeting business ','VBZ JJ NN VBP VBG JJ NN VB JJ NN NN NN  ','is_nice nice_restaurant restaurant_are are_looking looking_good good_place place_host host_intimate intimate_dinner dinner_meeting meeting_business business_associates. ',5,3,3,1,5,2,0,0,1,5,5,0,true
5174,'great place family general dining. ','great place family general ','JJ NN NN JJ  ','great_place place_family family_general general_dining. ',3,2,2,1,3,1,1,1,1,2,3,1,true
5186,'LLOOVVE THIS PLACE. ','lloovve this ','NNP NNP  ','LLOOVVE_THIS THIS_PLACE. ',3,1,2,0,2,0,0,0,0,2,2,0,false
5198,'Food is excellent. ','food be ','NN VBZ  ','Food_is is_excellent. ',1,1,0,1,3,1,0,0,0,1,2,0,false
5210,'Fish is fresh. ','fish be ','NN VBZ  ','Fish_is is_fresh. ',0,0,0,0,3,0,0,0,0,0,0,0,false
5222,'Waitstaff are friendly. ','waitstaff be ','NNP VBP  ','Waitstaff_are are_friendly. ',1,0,0,0,1,0,0,0,0,1,4,0,false
5234,'Love YUKA. ','love ','NN  ','Love_YUKA. ',2,0,0,0,0,0,0,0,0,0,0,0,false
5246,'Mermaid Inn is overall good restaurant good seafood. ','mermaid inn be overall good restaurant good ','NNP NNP VBZ JJ JJ NN JJ  ','Mermaid_Inn Inn_is is_overall overall_good good_restaurant restaurant_good good_seafood. ',4,3,1,2,7,2,0,0,1,4,4,0,false
5258,'menu is limited dishes are excellent. ','menu be limited dish be ','NN VBZ JJ NNS VBP  ','menu_is is_limited limited_dishes dishes_are are_excellent. ',1,1,1,1,6,2,1,1,1,1,2,1,false
5270,'lobster sandwich is good spaghetti Scallops Shrimp is great. ','lobster sandwich be good spaghetti scallop shrimp be ','NN NN VBZ JJ NNS NNPS NNP VBZ  ','lobster_sandwich sandwich_is is_good good_spaghetti spaghetti_Scallops Scallops_Shrimp Shrimp_is is_great. ',4,3,2,3,6,3,2,2,3,3,4,2,false
5282,'service is good ambience is good date group outing. ','service be good ambience be good date group ','NN VBZ JJ NN VBZ JJ NN NN  ','service_is is_good good_ambience ambience_is is_good good_date date_group group_outing. ',2,3,1,2,3,3,1,1,2,4,4,1,false
5294,'only fallback restaurant is prices. ','only fallback restaurant be ','JJ NN NN VBZ  ','only_fallback fallback_restaurant restaurant_is is_prices. ',4,5,3,2,6,1,1,1,1,4,4,1,false
5306,'good seafood, prices are high. ','good price be ','JJ  NNS VBP  ','good_seafood, seafood,_prices prices_are are_high. ',4,6,1,4,9,3,1,1,2,4,7,1,false
5318,'lobster sandwich is $24 was good was enough warrant price. ','lobster sandwich be be good be enough warrant ','NN NN VBZ  VBD JJ VBD JJ VB  ','lobster_sandwich sandwich_is is_$24 $24_was was_good good_was was_enough enough_warrant warrant_price. ',2,3,1,3,5,2,1,1,2,2,4,1,false
5330,'were surprised. ','be ','VBD  ','were_surprised. ',0,0,0,0,0,0,0,0,0,0,0,0,false
5342,'food was delicious (I had halibut special, husband had steak), service was top-notch. ','food be delicious have halibut husband have service be ','NN VBD JJ  VBD NN  NN VBD  NN VBD  ','food_was was_delicious delicious_(I (I_had had_halibut halibut_special, special,_husband husband_had had_steak), steak),_service service_was was_top-notch. ',2,3,2,2,9,3,1,1,1,4,5,1,false
5354,'dessert came, was candle anyone asked waiter have seen opening birthday card gift, said knew was special occassion sort. ','dessert be candle anyone ask waiter have see open birthday card say know be special occassion ','NN  VBD NN NN VBD NN VB VBN VBG NN NN  VBD VBD VBD JJ NN  ','dessert_came, came,_was was_candle candle_anyone anyone_asked asked_waiter waiter_have have_seen seen_opening opening_birthday birthday_card card_gift, gift,_said said_knew knew_was was_special special_occassion occassion_sort. ',4,1,2,1,6,1,1,1,1,1,7,1,false
5366,'mark attentive waiter. ','mark attentive ','NN JJ  ','mark_attentive attentive_waiter. ',2,1,1,1,1,1,1,1,1,1,4,1,false
5378,'recommend restaurant based experience last night. ','recommend restaurant base experience last ','VBP NN VBN NN JJ  ','recommend_restaurant restaurant_based based_experience experience_last last_night. ',6,2,2,1,4,1,1,1,1,2,2,1,false
5390,'ate Thai place following reviews unhappy foods. ','eat thai place follow review unhappy ','VBD NNP NN VBG NNS JJ  ','ate_Thai Thai_place place_following following_reviews reviews_unhappy unhappy_foods. ',4,3,3,2,7,2,1,1,1,4,4,2,false
